Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,PRODUCTS LIST,,,
,,,,
,,,,
,E CODE,PRODUCT NAME,SIZE,REF IMG
,1227,TRAILER SEAL PLASTIC WITH NUMBERS PK 2000,UNID,
,1266,KROGER FLW ARRG TAG  PK 500,UNID,
,1281,"2"" ROUND LABEL BLUE 34F  PK 1  - E/O 500",ROLL,
,1285,CLEAR SLEEVE BOTTOM FOLD W/HANDTALL VASE-10X28X26,UNID,
,1294,REPLACEMENT BLADE STEM CUTTER MACHI REF T10501,UNID,
,1313,CIRCLE KNIFE 300X30 ITEM # 99289 RIGHT,UNID,
,1323,"MEDIUM BASKET 6"" OPEN FALL",UNID,
,1330,329-576 DUSTY,UNID,
,1347,DIGITAL THERMAPEN WATER PRF - REF THS 231-247- RED,UNID,
,1349,HEB SLEEVES 7 DAY GUARANTEE 5X18X15,UNID,
,1351,"FTD 6.5""GATHERING VASE CLEAR  REF 4102-12-09",UNID,
,1352,UPC HEB LABEL 2X1 REF PS0118037.004 -E/8000 PK 4,ROLL,
,1353,ARRG EXTRA TALL BOX  24X16X25 HIGH KRAFT,UNID,
,1364,"FTD 6"" RECTANGULAR  CLR VASE #3077-12-09 - VA1362",UNID,
,1366,10 GR FLOWER FOOD FLORALIFE PK 1000,UNID,
,1371,"ELASTIC BOWS LOOPS 18"" WHITE",UNID,
,1386,DISPLAY MODULES RECT BLACK REF DSM 01FD PK 18,BOX,
,1399,"CORNUCOPIA 12""-13""  W/HARD LINNER PK24 REF FB1975",UNID,
,1400,"CORNUCOPIA 15"" REF 4-491RGR/1 BROWN",UNID,
,1401,"CORNUCOPIA 15"" REF 4-496T/1 BROWN",UNID,
,1436,MEDIUM CONTAINER CERAMIC XMAS & DECEMBER,UNID,
,1470,PROCONA + COLLAR+ LID VALENCIA 11X15X13,UNID,
,1484,LARGE CONTAINER CERAMIC,UNID,
,1490,3*5 LABEL THERMAL TRANSFER WHITE PK 6 E/1200 - CH,ROLL,
,1491,"LOTUS PODS 3.5"" SIZE NATURAL 16"" STEM PK 350",UNID,
,1495,CLEAR CROWN & GLORY REF TA0500 1 GL,UNID,
,1502,TJ POLIETHYLENO ZIPLOCK BAG 12 X 15,UNID,
,1551,PILLAR CANDLE 3 X 9 BURGUNDY,UNID,
,1552,"TAPER CANDLE BULK 12""  LIGHT BLUE PK 144",UNID,
,1558,"TAPER CANDLE BULK 12"" WHITE PK144",UNID,
,1559,"CANDLE HOLDER 1"" HHI PK 1440 CASE",UNID,
,1574,BUCKETS CONICAL 8 LTSAM 13 HIGH X 10 OPEN PK3420,UNID,
,1575,IMAGINE CARRY BAG ASST COLORS 10X9X5,UNID,
,1580,MYSTIC MESH RED 20X28,UNID,
,1581,MYSTIC MESH PINK 20X28,UNID,
,1594,HEB SLEEVES 5 DAY GUARANTEE 4X16X12,UNID,
,1595,HEB FLW FOOD BLOOMS GENERIC 10 GR PK 1000,UNID,
,1596,HEB FLW FOOD BLOOMS GENERIC  5 GR PK 2000,UNID,
,1613,HEART SHINY PINK PICK,UNID,
,1615,HEART SHINY RED PICK,UNID,
,1620,"8"" URN / ROSE  VASE  PINK  REF WBY 999 PK 6",UNID,
,1635,PICK AMERICAN FOOTBALL REF 9-137RS/1FFN PK 120,UNID,
,1642,SATIN SHEET RED WITH  NO HOLE,UNID,
,1655,"HARD LINERS 5"" REF 101748 OR REF PK16S PK 500",UNID,
,1656,"SPRING POLKA DOTS 4"" REF 986788",UNID,
,1667,"MEDIUM BASKET 6"" OPEN MDAYS",UNID,
,1671,REF 4-440MT/1BBM WATER CAN METAL PK 12,UNID,
,1683,PARTITION 4 CELL ARRG LARGE BOX,UNID,
,1695,HEB SLEEVES 5 DAY GUARANTEE 5X18X15,UNID,
,1697,PATCHWORK   LAVANDER 21X17X5,UNID,
,1699,H.TEETER FLW FOOD REF 2XGALERIA 10 GR PK 2000,UNID,
,1713,ORGANZA DAISY YELLOW 20X28,UNID,
,1714,ORGANZA DAISY GREEN,UNID,
,1717,CURL ORANGE/RED  SHEET,UNID,
,1719,"CERAMIC VASE PINK 8"" REF CE152RSP",UNID,
,1749,DAMASK PINK W/HOLE SHEET,UNID,
,1750,"DAMASK  YELLOW SLEEVE 17""",UNID,
,1767,T.JOE'S MULTICOLOR HEART 4X18X17,UNID,
,1784,GALA LILAC 21X17X5,UNID,
,1832,MEDIUM CONTAINER CERAMIC EVERY DAY,UNID,
,1850,TOPCO FLW FOOD TOP FRESH 10 GR PK 1000,UNID,
,1859,BLOSSOM YELLOW 20X20,UNID,
,1862,MUG ASST COLORS EVERY DAY,UNID,
,1870,"FTD 8"" ROSE VASE/URN TWISTER CLEAR PK 15",UNID,
,1871,EUROSWIRL YELLOW SHEET,UNID,
,1872,SMILEY FACE SHEET,UNID,
,1888,PARTITION 6 CELL ARRG LARGE BOX,UNID,
,1897,PEANUTS BAG 20 CUBIC FEET,UNID,
,1915,REVERSA FOLIAGE BURGUNDY,UNID,
,1920,DISPLAY 1 HOLE - 1 CAP KRAFT FOR K BOX,UNID,
